symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration,,,,,,,,
ZNM4,5,1,0.015625,49137410342,49137410348,1,110 040,110 045,$15.62,02/27/2024 16:27:28,02/27/2024 16:27:50,21sec,,,,,,,,
ZNM4,5,1,0.015625,49137410382,49137410391,1,110 060,110 060,$0.00,02/28/2024 10:16:10,02/28/2024 10:18:35,2min 24sec,,,,,,,,
ZNM4,5,1,0.015625,49137410446,49137410437,1,110 065,110 070,$15.62,02/28/2024 10:42:01,02/28/2024 10:41:03,57sec,,,,,,,,
ZNM4,5,1,0.015625,49137410473,49137410483,1,110 050,110 050,$0.00,02/28/2024 11:00:21,02/28/2024 11:01:37,1min 15sec,,,,,,,,
ZNM4,5,1,0.015625,49137410496,49137410503,1,110 040,110 045,$15.62,02/28/2024 11:09:15,02/28/2024 11:09:25,10sec,,,,,,,,
ZNM4,5,1,0.015625,49137410518,49137410525,1,110 035,110 040,$15.62,02/28/2024 11:27:17,02/28/2024 11:28:04,46sec,,,,,,,,
ZNM4,5,1,0.015625,49137410560,49137410567,1,110 085,110 090,$15.62,02/28/2024 15:20:07,02/28/2024 15:20:20,12sec,,,,,,,,
ZNM4,5,1,0.015625,49137410582,49137410597,1,110 070,110 070,$0.00,02/28/2024 15:53:06,02/28/2024 15:56:52,3min 45sec,,,,,,,,
ZNM4,5,1,0.015625,49137410653,49137410664,1,110 090,110 095,$15.62,02/29/2024 10:08:34,02/29/2024 10:09:51,1min 16sec,,,,,,,,
ZNM4,5,1,0.015625,49137410761,49137410775,1,110 060,110 060,$0.00,02/29/2024 11:21:47,02/29/2024 11:22:51,1min 3sec,,,,,,,,
ZNM4,5,1,0.015625,49137410791,49137410798,1,110 040,110 045,$15.62,02/29/2024 11:56:10,02/29/2024 11:56:22,11sec,,,,,,,,
ZNM4,5,1,0.015625,49137410835,49137410842,1,110 100,110 105,$15.62,03/01/2024 10:25:56,03/01/2024 10:29:43,3min 47sec,,,,,,,,
ZNM4,5,1,0.015625,49137410882,49137410852,1,110 120,110 110,$(31.25),03/01/2024 11:12:07,03/01/2024 11:06:20,5min 47sec,,,,,,,,
ZNM4,5,1,0.015625,49137410918,49137410911,1,110 140,110 145,$15.62,03/01/2024 11:24:57,03/01/2024 11:23:01,1min 56sec,,,,,,,,
ZNM4,5,1,0.015625,49137410936,49137410972,1,110 140,110 135,$(15.62),03/01/2024 11:28:41,03/01/2024 11:38:22,9min 40sec,,,,,,,,
ZNM4,5,1,0.015625,49137411019,49137411052,1,110 265,110 250,$(46.88),03/04/2024 10:46:29,03/04/2024 10:59:48,13min 19sec,,,,,,,,
ZNM4,5,1,0.015625,49137411046,49137411066,1,110 245,110 255,$31.25,03/04/2024 10:59:37,03/04/2024 11:02:58,3min 21sec,,,,,,,,
